227,  56115
  6,  16384
  1,  16640
  2,  16896
  3,  17152
  4,  17408
  5,  17664
  6,  17920
  7,  18176
  8,  18432
  9,  18688
 10,  58112
115,   1955
  0,    320
  0,    577
  0,    834
  0,   1091
  0,   1348
  0,   1605
  0,   1862
  0,   2119
  0,   2376
  0,   2633
  0,   9443
215,     16
 64,      0
 64,      1
 64,      2
 64,      3
 64,      4
 64,      5
 64,      6
 64,      7
 64,      8
 64,      9
227,  56962
 21,  16384
  0,  16384
  0,  16384
  0,  16384
  0,  16384
  0,  16384
  0,  16384
  0,  16384
  0,  16384
  0,  16384
  0,  58112
221,   5768
  0,     64
  0,     64
  0,     64
  0,     64
  0,     64
  0,     64
  0,     64
  0,     64
  0,     64
  0,     64
  0,  49891
 45,     33
 64,      0
 66,      0
 65,      0
 64,      0
227,  11715
 33,  16640
  1,  16384
  1,  58112
196,   8493
  0,    577
  0,    576
  0,  50659
 45,     33
 65,      3
 64,      3
227,  11718
 33,  16640
  4,  16384
  4,  58112
199,   8493
  0,   1345
  0,   1344
  0,  51427
 45,     33
 65,      6
 64,      6
227,  11721
 33,  16640
  7,  16384
  7,  58112
202,   8493
  0,   2113
  0,   2112
  0,  52195
 45,     33
 65,      9
 64,      9
227,  11724
 33,  16384
 10,  16896
 10,  16640
 10,  16384
 10,  58112
205,   8493
  0,   2881
  0,   2880
  0,  52963
 45,     33
 65,     12
 64,     12
227,  11727
 33,  16640
 13,  16384
 13,  58112
208,   8493
  0,   3649
  0,   3648
  0,  53731
 45,     33
 65,     15
 64,     15
227,  11730
 33,  16640
 16,  16384
 16,  58112
211,   8493
  0,   4417
  0,   4416
  0,  54499
 45,     33
 65,     18
 64,     18
227,  11733
 33,  16640
 19,  16384
 19,  58112
214,   8493
  0,   5184
  0,   5186
  0,   5185
  0,   5184
  0,  55267
 45,     33
 65,     21
 64,     21
227,  11736
 33,  16640
 22,  16384
 22,  58112
217,   8493
  0,   5953
  0,   5952
  0,  56035
 45,     33
 65,     24
 64,     24
227,  11739
 33,  16640
 25,  16384
